episode_id,category,outcome,initial_goal_distance,final_goal_distance,total_distance_reduction,angular_reversals,linear_reversals,cumulative_angular_rotation,percent_turning,avg_lin_last10,avg_ang_last10
EASY / OPEN_1,EASY / OPEN,SUCCESS,2.9951296775573164,0.4891774008173886,2.5059522767399276,6,2,4.6624045,0.42424242424242425,0.18328257,-0.0426964
EASY / OPEN_2,EASY / OPEN,COLLISION,6.20565682658474,0.9221295289785676,5.283527297606172,30,4,7.056076,0.3356643356643357,0.15566388,0.13994075
EASY / OPEN_3,EASY / OPEN,SUCCESS,5.641531160991723,0.49779296312812005,5.143738197863603,17,0,8.14326,0.446875,0.19090866,0.05344268
EASY / OPEN_4,EASY / OPEN,SUCCESS,6.356264329235364,0.4907877114872278,5.865476617748136,35,1,6.631229,0.3110367892976589,0.21208526,0.08121418
EASY / OPEN_5,EASY / OPEN,SUCCESS,5.519545529225113,0.49681868669441626,5.022726842530697,33,2,5.779596,0.4365079365079365,0.21984653,0.053017706
EASY / OPEN_6,EASY / OPEN,SUCCESS,6.372267420641893,0.4854764257211161,5.886790994920776,39,0,4.3778696,0.30980392156862746,0.22024064,0.0988066
EASY / OPEN_7,EASY / OPEN,SUCCESS,6.532993961499239,0.48586433007362356,6.047129631425615,39,2,4.6598964,0.2413793103448276,0.16097513,0.04950782
EASY / OPEN_8,EASY / OPEN,SUCCESS,4.447595452280887,0.4975313616057198,3.950064090675167,19,2,7.0654674,0.3018867924528302,0.08169348,0.095441855
EASY / OPEN_9,EASY / OPEN,SUCCESS,4.228886409862703,0.4942486267097011,3.7346377831530018,8,0,6.8237877,0.468,0.18463728,0.05530565
EASY / OPEN_10,EASY / OPEN,SUCCESS,6.8012860283805265,0.4991312684025299,6.302154759977997,41,1,6.7366076,0.27692307692307694,0.19576517,0.0641183
EASY / OPEN_11,EASY / OPEN,SUCCESS,5.325906854891954,0.4864146326362787,4.839492222255676,8,2,6.0939946,0.2798507462686567,0.1527536,0.023807857
EASY / OPEN_12,EASY / OPEN,COLLISION,4.942782225572098,1.666031199724647,3.2767510258474513,15,4,8.209957,0.24611973392461198,-0.022639658,0.15900576
EASY / OPEN_13,EASY / OPEN,SUCCESS,4.326907782069009,0.49089685766964747,3.8360109243993614,10,2,4.94747,0.3269230769230769,0.2287398,0.0378586
EASY / OPEN_14,EASY / OPEN,SUCCESS,4.62967860380739,0.48886788699763706,4.140810716809753,27,2,6.910875,0.4228187919463087,0.18775578,0.22730236
EASY / OPEN_15,EASY / OPEN,SUCCESS,5.393765488425153,0.48327203124407186,4.910493457181081,41,2,5.7540636,0.47509578544061304,0.13903248,-0.05484452
EASY / OPEN_16,EASY / OPEN,COLLISION,5.270378573669452,4.209657097259093,1.0607214764103592,21,0,3.0516496,0.3893129770992366,0.09771462,0.09294077
EASY / OPEN_17,EASY / OPEN,SUCCESS,2.019038310268806,0.4852979321172514,1.5337403781515544,7,2,3.9342096,0.46956521739130436,0.16316248,-0.2078809
EASY / OPEN_18,EASY / OPEN,TIMEOUT,5.163738385748328,1.4358496586002096,3.7278887271481183,45,0,16.117046,0.58625,-0.0054597408,0.22664231
EASY / OPEN_19,EASY / OPEN,TIMEOUT,4.510466678287032,3.949076494181501,0.5613901841055311,1,0,7.33175,0.14,-0.07261737,-0.056098297
EASY / OPEN_20,EASY / OPEN,SUCCESS,2.5043294539361005,0.48709270031839647,2.017236753617704,15,4,3.1321516,0.3467741935483871,0.19960205,-0.08507242
EASY / OPEN_21,EASY / OPEN,TIMEOUT,7.716742765328429,4.3154767811885755,3.4012659841398536,26,3,9.013347,0.10375,-0.064915136,0.0010726999
EASY / OPEN_22,EASY / OPEN,SUCCESS,2.938739410792811,0.4851807340877907,2.45355867670502,10,2,4.2656436,0.37579617834394907,0.2187126,-0.033238634
EASY / OPEN_23,EASY / OPEN,SUCCESS,7.361607491425165,0.4876802762995387,6.873927215125626,35,2,8.477266,0.36,0.14947508,0.00881342
EASY / OPEN_24,EASY / OPEN,SUCCESS,3.4203372231784592,0.4839032221019401,2.936434001076519,22,0,4.3630557,0.4691358024691358,0.14688559,-0.13630748
