episode,step,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,linear_vel,angular_vel,norm_action_linear,norm_action_angular,min_lidar,is_near_obstacle,progress_reward,clearance_reward,turning_penalty,inflation_penalty,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33,sector_34,sector_35
10,204,3.007008802447855,2.1805199489830893,1.5905,3.6714322566986084,7.012646198272705,4.8776,0.187703,-0.154346,0.482556,-0.054347,0.3634,False,0.306509,-0.089882,-0.001191,0.0,10.5014,5.6474,5.8972,1.9677,1.9433,5.6446,5.2062,4.9719,4.9009,1.6741,0.8638,0.5943,0.4637,0.39,0.3634,0.4204,5.3743,5.3008,4.9108,2.5588,1.7666,1.3812,1.1629,1.0314,0.9868,4.9643,4.92,3.7475,1.9714,1.665,1.6817,1.6351,1.9412,4.3067,10.6327,5.5994
10,205,3.0061122681901953,2.201270872080923,1.5873,3.6714322566986084,7.012646198272705,4.8572,0.258706,0.060104,0.74075,0.021163,0.3457,False,0.309763,-0.088406,-0.000181,0.0,5.6206,5.6598,5.904,1.9821,1.9575,5.6651,5.2176,4.9763,4.8994,1.619,0.8192,0.5597,0.4352,0.3651,0.3457,0.4122,5.3591,5.2797,5.1021,2.6095,1.7897,1.3943,1.1712,1.037,0.9836,4.9713,4.9169,4.0011,2.0671,1.6754,1.7272,1.6537,1.9271,4.3415,10.6657,5.6205
10,206,3.0052481115355367,2.222239216654003,1.5832,3.6714322566986084,7.012646198272705,4.8365,0.136355,-0.172822,0.295837,-0.060853,0.3321,False,0.287606,-0.068036,-0.001493,0.0,10.5422,5.6691,5.9451,1.9866,1.9737,5.6393,5.2036,4.9713,4.902,1.4333,0.7437,0.5127,0.4005,0.337,0.3321,0.4242,5.3315,5.2603,4.8524,2.5421,1.7585,1.3763,1.1596,1.029,0.97,1.1537,4.9181,3.9224,2.0743,1.68,1.7394,1.664,1.9445,4.3473,10.6702,5.6398
10,207,3.0060172518824686,2.2414909027738963,1.5906,3.6714322566986084,7.012646198272705,4.8173,0.231049,0.02566,0.640178,0.009035,0.3169,True,0.282078,-0.076081,-3.3e-05,-0.05,10.5614,5.6907,5.97,1.9964,1.9882,5.6337,5.2008,4.9705,4.9029,1.3157,0.6865,0.4742,0.3708,0.3169,0.327,0.4277,5.3108,5.2416,4.7953,2.5258,1.7507,1.3717,1.1565,1.0268,0.9616,1.1008,4.9094,3.9788,2.1152,1.6808,1.7637,1.6661,1.9482,4.3637,10.6856,5.6587
10,208,3.0062933615677467,2.260440158178088,1.5949,3.6714322566986084,7.012646198272705,4.7985,0.196049,-0.002839,0.512904,-0.001,0.3032,True,0.294232,-0.068229,-0.0,-0.05,10.5841,5.7238,6.0152,2.0068,2.0047,5.6056,5.1858,4.9655,4.9059,1.147,0.6143,0.4284,0.3368,0.3032,0.3363,0.4425,5.2825,5.222,4.5385,2.4521,1.7157,1.3512,1.1432,1.0176,0.9546,1.0707,4.909,3.8802,2.1145,1.686,1.7731,1.6783,1.9688,4.3651,10.6893,5.6781
10,209,3.0069035967997584,2.280161918112278,1.6029,3.6714322566986084,7.012646198272705,4.7789,0.242752,0.043475,0.682734,0.015308,0.3006,True,0.322291,-0.013229,-9.5e-05,-0.05,10.6097,5.7369,6.065,2.0227,2.0257,5.5763,5.1704,4.9608,4.9094,0.9837,0.5407,0.3809,0.301,0.3006,0.3468,4.4105,5.2527,5.2009,4.2885,2.3766,1.6792,1.3296,1.1291,1.0078,0.9413,1.0364,4.9017,3.7841,2.1137,1.6919,1.7823,1.6917,1.9916,4.4014,10.6943,5.6993
10,210,3.008240976315918,2.3016712809268665,1.6169,3.6714322566986084,7.012646198272705,4.7574,0.107785,-0.325758,0.191945,-0.114704,0.3003,True,0.325409,-0.001407,-0.005306,-0.05,5.7635,5.7874,6.1435,2.0437,2.0614,5.5221,5.1426,4.9533,3.4652,0.7981,0.4589,0.3291,0.3049,0.3003,0.3679,4.616,5.2166,5.1794,3.8735,2.2428,1.613,1.2901,1.103,0.9896,0.9279,1.0342,4.894,3.5407,2.0645,1.7042,1.7744,1.7123,2.0391,4.4179,10.6882,5.721
10,211,3.009809385639844,2.3233585812173745,1.6356,3.6714322566986084,7.012646198272705,4.7357,0.14066,-0.250426,0.311492,-0.088178,0.3019,True,0.28887,0.007759,-0.003136,-0.05,5.7705,5.8181,6.1854,2.0596,2.0911,5.5044,5.134,4.952,2.6989,0.6901,0.4027,0.307,0.3019,0.307,0.3773,5.3801,5.1927,5.1604,3.7382,2.1959,1.5888,1.2752,1.0928,0.9824,0.9224,0.9907,4.8886,3.5114,2.0761,1.708,1.7878,1.7261,2.0555,4.4236,10.6984,5.7399
10,212,3.0098480901874525,2.3428026431502285,1.6446,3.6714322566986084,7.012646198272705,4.7165,0.107337,-0.321129,0.190315,-0.113074,0.3014,True,0.293783,-0.00226,-0.005156,-0.05,5.8056,5.8561,6.24,2.0774,2.1338,5.4779,5.1213,4.9502,1.9807,0.5771,0.3439,0.3082,0.3014,0.3169,0.3914,5.3416,5.1665,5.1406,3.55,2.1286,1.5538,1.2536,1.0782,0.9719,0.9099,0.9563,4.8859,3.4327,2.0708,1.7143,1.7948,1.7343,2.0822,4.4571,10.706,5.7596
10,213,3.009684467806178,2.3626078300483497,1.654,3.6714322566986084,7.012646198272705,4.6969,0.20362,-0.10393,0.540438,-0.036595,0.3008,True,0.286611,-0.002943,-0.00054,-0.05,5.8295,5.8809,6.2705,2.094,2.1673,5.4718,5.119,4.9509,1.6379,0.4929,0.3074,0.5703,0.3008,0.3214,3.5652,5.317,5.1458,5.1217,3.4949,2.1073,1.5421,1.246,1.0727,0.9677,0.9066,0.9024,4.8825,3.4641,2.1012,1.7193,1.8157,1.7468,2.088,4.4712,10.7217,5.7784
