episode,total_steps,goal_x,goal_y,collision_pos_x,collision_pos_y,dist_to_goal,obstacle_direction,closest_sector,closest_sector_dist,goal_heading_deg,obstacle_heading_deg,goal_blocked,classification,collision_motion,final_linear_vel,final_angular_vel,final_min_clearance,mean_lin_last30,mean_ang_last30,mean_clr_last30,continuously_approached,attempted_turn,reduced_speed,increased_angular_near,drove_forward_low_clearance,moved_away_from_goal,attempted_go_around
10,233,3.6714322566986084,7.012646198272705,2.9559333468816176,2.675556942322687,4.395711763073915,RIGHT,6,0.3027,-3.2,-115.0,NO,DIRECT_WALL_APPROACH,driving_straight,0.157377,-0.14076,0.3027,0.192703,0.162757,0.3076,False,False,False,False,True,False,False
13,232,-0.9427211880683899,4.990172863006592,-0.3262065877177324,0.833879156578003,4.2017695827524175,REAR,4,0.3099,169.5,-135.0,PARTIAL,UNKNOWN,nearly_stationary,-0.048182,0.075685,0.3099,-0.040504,0.122852,0.7031,False,False,True,False,False,False,False
16,259,3.0774807929992676,4.210935592651367,3.0087302559754248,2.400392371806345,1.8118480595482984,FRONT_RIGHT,10,0.3026,-2.1,-75.0,PARTIAL,DIRECT_WALL_APPROACH,driving_straight,0.122323,-0.049581,0.3026,0.122843,0.049701,0.3027,False,False,False,False,True,False,False
18,269,0.9785416126251221,3.974982976913452,1.8174591958770754,2.7056742674804193,1.5214885183043116,RIGHT,6,0.4332,11.7,-115.0,NO,CORNER_COLLISION,driving_straight,0.100622,-0.072574,0.4332,0.210684,0.435118,0.3154,False,True,True,False,True,False,False
21,254,-4.2812299728393555,-1.3720703125,-4.230557090044819,-0.01921894290874733,1.3538000477380836,RIGHT,9,0.3075,58.8,-85.0,NO,DIRECT_WALL_APPROACH,driving_straight,0.055685,0.064262,0.3075,0.062559,0.120384,0.3036,False,False,False,False,True,False,False
22,235,5.301045894622803,-3.990907669067383,3.095876860112713,-2.475818280757936,2.6754936601177093,FRONT_RIGHT,11,0.3008,46.8,-65.0,NO,DIRECT_WALL_APPROACH,driving_straight,0.087621,0.009052,0.3008,0.103287,0.073731,0.3017,False,False,False,False,True,False,False
23,400,-3.0960936546325684,2.4287476539611816,-2.254674529303685,0.5137159963598762,2.091729522209893,FRONT_RIGHT,10,0.3004,1.0,-75.0,PARTIAL,CORNER_COLLISION,turning_left,0.133694,0.623349,0.3004,0.136377,0.649831,0.3015,False,True,False,False,True,False,False
24,321,0.855482280254364,4.258472919464111,1.9382988364701441,2.474697578533391,2.0867070137725396,FRONT_RIGHT,12,0.3001,22.0,-55.0,PARTIAL,DIRECT_WALL_APPROACH,driving_straight,0.134779,0.298599,0.3001,0.144922,0.262126,0.3021,False,False,False,False,True,False,False
29,237,-2.97731876373291,1.9542388916015625,-2.0311529041712664,0.4675070969865184,1.762271620074299,RIGHT,9,0.3021,-20.1,-85.0,PARTIAL,HIGH_SPEED_APPROACH,driving_straight,0.221145,0.189184,0.3021,0.183925,0.122551,0.3117,False,False,True,False,True,False,False
41,606,4.241028308868408,-6.259049892425537,2.375328846177543,-6.378632950263808,1.869527906399617,LEFT,25,0.3047,12.5,75.0,PARTIAL,DIRECT_WALL_APPROACH,driving_straight,0.084505,0.092806,0.3047,0.086693,0.096109,0.303,False,False,False,False,True,False,False
47,273,-3.2814931869506836,2.3913395404815674,-1.8513697868073586,0.27840046344784014,2.5514240108013495,FRONT,17,0.3021,2.9,-5.0,YES,DIRECT_WALL_APPROACH,driving_straight,0.074969,0.118698,0.3021,0.123741,0.29543,0.3271,False,False,True,False,True,False,False
