scenario_id,category,total_steps,final_dist,min_clearance,max_linear,mean_linear,mean_angular,l20_min_lidar,l20_mean_linear,l20_mean_angular,fallback_count,oscillation,no_turn,q1_bad_start,q2_narrow_passage,q3_turning_collision,q4_speed_during_turn,q5_unsafe_nav2,q6_ppo_deviated,orig_failure_reason,geo_cause,geo_rationale
EASY / OPEN_20,EASY / OPEN,172,2.5436,0.3002,0.3307,0.1112,0.3251,0.3024,0.0027,0.0042,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
EASY / OPEN_21,EASY / OPEN,168,7.48,0.3,0.3353,0.2099,0.2694,0.3002,0.0016,0.0132,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
EASY / OPEN_24,EASY / OPEN,179,0.7394,0.3,0.3463,0.2261,0.2712,0.3026,0.0016,0.0109,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
WALL-BLOCKED_3,WALL-BLOCKED,121,6.2366,0.3001,0.3149,0.0944,0.2557,0.3001,0.0124,0.0204,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
WALL-BLOCKED_8,WALL-BLOCKED,92,6.2515,0.3003,0.3388,0.1453,0.4287,0.3005,0.0023,0.0344,0,False,False,True,True,False,False,True,False,EXCESSIVE_SPEED,UNSAFE_NAV2_PATH,Fallback count=0 (Nav2 path absent/stale). Episode only 92 steps before collision. Nav2 could not provide a safe path through this geometry.
WALL-BLOCKED_14,WALL-BLOCKED,320,0.3609,0.3005,0.4278,0.2634,0.2534,0.3037,0.2602,0.122,0,False,False,False,True,False,False,False,True,LATE_OBSTACLE_REACTION,LATE_REACTION,Nav2 was active (fallback=0) but PPO maintained l20_linear=0.260 m/s into obstacle (clearance=0.304m). PPO failed to slow despite Nav2 providing a path. Late braking = LATE_REACTION.
WALL-BLOCKED_18,WALL-BLOCKED,165,6.6443,0.3001,0.2498,0.0842,0.2127,0.3001,0.0019,0.028,0,False,False,False,True,False,False,False,False,WRONG_LOCAL_MANEUVER,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
WALL-BLOCKED_20,WALL-BLOCKED,207,4.3543,0.3001,0.3358,0.2268,0.1963,0.3002,0.013,0.0529,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
WALL-BLOCKED_25,WALL-BLOCKED,83,3.2633,0.3001,0.2924,0.0965,0.2211,0.3001,0.0073,0.0262,0,False,False,True,True,False,False,True,False,WRONG_LOCAL_MANEUVER,UNSAFE_NAV2_PATH,Fallback count=0 (Nav2 path absent/stale). Episode only 83 steps before collision. Nav2 could not provide a safe path through this geometry.
WALL-BLOCKED_28,WALL-BLOCKED,228,1.8309,0.3001,0.3367,0.2244,0.2532,0.3017,0.0023,0.0115,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
COMPLEX OBSTACLE_2,COMPLEX OBSTACLE,181,7.2765,0.3,0.3471,0.1435,0.3813,0.3038,0.174,0.1654,0,False,False,False,True,False,False,False,True,LATE_OBSTACLE_REACTION,LATE_REACTION,Nav2 was active (fallback=0) but PPO maintained l20_linear=0.174 m/s into obstacle (clearance=0.304m). PPO failed to slow despite Nav2 providing a path. Late braking = LATE_REACTION.
COMPLEX OBSTACLE_8,COMPLEX OBSTACLE,251,1.2213,0.3001,0.3366,0.1974,0.1987,0.3001,0.0066,0.0325,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,210,2.5486,0.3,0.3373,0.2611,0.194,0.3,0.2484,0.2704,0,False,False,False,True,False,True,False,True,LATE_OBSTACLE_REACTION,SPEED_DURING_TURN,"High forward velocity during turn: l20_linear=0.248 m/s, l20_angular=0.270 rad/s, max_vel=0.337 m/s. Robot approached curved obstacle at speed it could not brake from."
