episode,initial_pos_x,initial_pos_y,goal_x,goal_y,initial_distance,final_pos_x,final_pos_y,final_distance,distance_reduction,steps,duration_s,path_length,termination,min_lidar_clearance,min_lidar_before_collision,linear_vel_mean,linear_vel_min,linear_vel_max,angular_vel_mean,angular_vel_min,angular_vel_max,pct_forward,pct_backward,pct_stationary,pct_high_angular,inflation_zone_steps,collision_risk_events,distance_before_termination,collision_pos_x,collision_pos_y,collision_goal_x,collision_goal_y,collision_min_lidar,collision_linear_vel,collision_angular_vel,collision_motion_state,collision_classification,timeout_classification
1,0.00012968014849071285,3.092182608296943e-05,4.109340667724609,-0.9168233871459961,4.210253764833774,4.0554859176406275,-0.4214194484401722,0.49832258286360237,3.7119,452,22.6,11.6549,SUCCESS,0.7556,,0.250948,-0.039707,0.33,0.220218,-1.063662,1.032006,99.12,0.0,0.88,0.66,0,0,0.4983,,,,,,,,,,
2,0.04623902395772861,0.005672821172620397,3.917095422744751,4.290964603424072,5.774708210729115,2.9456142990697356,2.4347727394969847,2.095047447998729,3.6797,242,12.1,4.9994,COLLISION,0.3,0.3036,0.202169,0.045182,0.33,-0.090368,-0.923321,0.764012,98.76,0.0,1.24,0.0,40,0,2.095,2.9456142990697356,2.4347727394969847,3.917095422744751,4.290964603424072,0.3036,0.06674,-0.046068,FORWARD,FRONT_COLLISION,
3,0.005854908736289688,0.0007590344991348396,-5.578295707702637,-0.744210958480835,5.633623913389659,-6.061765584191119,-0.6944533410896623,0.48602360226663327,5.1476,305,15.25,8.0885,SUCCESS,0.5393,,0.256232,-0.014705,0.33,-0.037864,-1.460314,0.853423,98.36,0.0,1.64,6.23,0,0,0.486,,,,,,,,,,
4,0.0357896786692766,-0.006511820684419162,-0.8487870097160339,-4.091419219970703,4.179586627691614,-0.7897182409245191,-3.608634542623351,0.48638479018975533,3.6932,209,10.45,4.2671,SUCCESS,0.8849,,0.187148,0.019783,0.297058,-0.148207,-1.427536,0.386946,97.13,0.0,2.87,2.39,0,0,0.4864,,,,,,,,,,
5,0.020335286578356288,-0.002187803325543932,0.8187717795372009,-6.542741298675537,6.589107743755859,0.359565415084816,-6.7013860898287785,0.48583809537090866,6.1033,297,14.85,7.5325,SUCCESS,0.6355,,0.251324,0.059878,0.33,-0.018054,-1.348011,0.625134,100.0,0.0,0.0,0.34,0,0,0.4858,,,,,,,,,,
6,0.02767985097850187,-0.0029030375078865855,4.914467811584473,1.9749659299850464,5.271874640438164,4.457157057067549,1.833246425719038,0.47876669066074434,4.7931,253,12.65,5.9231,SUCCESS,0.3,,0.223033,0.024843,0.33,-0.124701,-0.733329,0.527115,98.02,0.0,1.98,0.0,43,0,0.4788,,,,,,,,,,
7,0.07609666416952993,0.0008304441200386099,3.8713161945343018,-2.182110548019409,4.378232823734361,3.5821872466069125,-2.582492092629303,0.4938632703429194,3.8844,187,9.35,4.6078,SUCCESS,0.3746,,0.246176,0.063614,0.33,0.000135,-0.96727,0.856711,100.0,0.0,0.0,0.0,9,0,0.4939,,,,,,,,,,
8,0.028176220407808233,-0.004084645094916045,4.175752639770508,-4.580419540405273,6.176182577327905,2.882216114763153,-2.470418394784128,2.4749427419741754,3.7012,225,11.25,4.0624,COLLISION,0.3001,0.3062,0.188293,0.036502,0.33,-0.024881,-1.193167,0.60543,96.44,0.0,3.56,0.44,63,0,2.4749,2.882216114763153,-2.470418394784128,4.175752639770508,-4.580419540405273,0.3062,0.079778,0.220784,FORWARD,FRONT_COLLISION,
9,0.13610041675273815,-0.04561110416828547,-0.4991849362850189,-6.8429436683654785,6.8269552121044335,-0.8984657635092865,-6.551043359869952,0.49460182883677173,6.3324,318,15.9,7.5538,SUCCESS,0.6108,,0.23118,0.027524,0.33,-0.072336,-1.431196,0.851504,99.69,0.0,0.31,2.52,0,0,0.4946,,,,,,,,,,
10,0.02383176909990875,-0.009766912232154739,3.6714322566986084,7.012646198272705,7.913234181529118,2.9864175793627683,2.4156563546546406,4.647747920282808,3.2655,279,13.95,4.9593,COLLISION,0.3002,0.307,0.180983,0.010416,0.33,-0.075144,-0.757735,0.600882,93.19,0.0,6.81,0.0,77,0,4.6477,2.9864175793627683,2.4156563546546406,3.6714322566986084,7.012646198272705,0.307,0.081283,-0.056397,FORWARD,FRONT_COLLISION,
