scenario_id,category,outcome,final_dist_to_goal,strict_success_025m,min_clearance,path_length,total_steps,mean_linear_vel,mean_angular_vel,max_linear_vel,oscillation_detected,no_turn_detected,fallback_used_count,failure_reason
EASY / OPEN_1,EASY / OPEN,SUCCESS,0.2275,True,0.3539,4.343,142,0.2643,0.3185,0.3364,False,False,0,
EASY / OPEN_2,EASY / OPEN,SUCCESS,0.2498,True,0.4289,8.75,266,0.284,0.2979,0.3428,False,False,0,
EASY / OPEN_3,EASY / OPEN,SUCCESS,0.2469,True,0.3002,16.009,297,0.2628,0.3517,0.3368,False,False,0,
EASY / OPEN_4,EASY / OPEN,SUCCESS,0.2253,True,0.7513,8.384,264,0.2758,0.2244,0.3415,False,False,0,
EASY / OPEN_5,EASY / OPEN,SUCCESS,0.2492,True,0.3,12.022,224,0.2538,0.2569,0.3369,False,False,0,
EASY / OPEN_6,EASY / OPEN,SUCCESS,0.2452,True,0.7538,20.893,247,0.2795,0.2281,0.339,False,False,0,
EASY / OPEN_7,EASY / OPEN,SUCCESS,0.25,True,0.4975,15.659,247,0.2631,0.2475,0.3416,False,False,0,
EASY / OPEN_8,EASY / OPEN,SUCCESS,0.2487,True,0.4688,14.745,218,0.2657,0.252,0.3388,False,False,0,
EASY / OPEN_9,EASY / OPEN,SUCCESS,0.2294,True,0.3536,15.754,207,0.2775,0.2809,0.3429,False,False,0,
EASY / OPEN_10,EASY / OPEN,SUCCESS,0.2448,True,0.4616,8.713,280,0.2557,0.2188,0.3404,False,False,0,
EASY / OPEN_11,EASY / OPEN,SUCCESS,0.2398,True,0.8887,14.076,214,0.2674,0.2287,0.3357,False,False,0,
EASY / OPEN_12,EASY / OPEN,SUCCESS,0.2481,True,0.312,11.103,218,0.2732,0.273,0.3423,False,False,0,
EASY / OPEN_13,EASY / OPEN,SUCCESS,0.2446,True,0.7777,9.744,185,0.2478,0.2045,0.3401,False,False,0,
EASY / OPEN_14,EASY / OPEN,SUCCESS,0.2257,True,0.4024,16.452,184,0.2591,0.2364,0.337,False,False,0,
EASY / OPEN_15,EASY / OPEN,SUCCESS,0.2401,True,0.465,9.708,198,0.2796,0.183,0.3388,False,False,0,
EASY / OPEN_16,EASY / OPEN,SUCCESS,0.2422,True,0.5132,8.967,224,0.2686,0.2476,0.3383,False,False,0,
EASY / OPEN_17,EASY / OPEN,SUCCESS,0.2384,True,0.6603,17.532,152,0.2203,0.5102,0.3425,False,False,0,
EASY / OPEN_18,EASY / OPEN,SUCCESS,0.2451,True,0.4645,6.899,240,0.2367,0.2322,0.3316,False,False,0,
EASY / OPEN_19,EASY / OPEN,SUCCESS,0.2403,True,0.7125,12.172,195,0.2741,0.282,0.3419,False,False,0,
EASY / OPEN_20,EASY / OPEN,COLLISION,2.5436,False,0.3002,6.268,172,0.1112,0.3251,0.3307,False,False,0,EXCESSIVE_SPEED
EASY / OPEN_21,EASY / OPEN,COLLISION,7.48,False,0.3,12.761,168,0.2099,0.2694,0.3353,False,False,0,EXCESSIVE_SPEED
EASY / OPEN_22,EASY / OPEN,SUCCESS,0.2463,True,0.5241,6.158,167,0.265,0.3215,0.3363,False,False,0,
EASY / OPEN_23,EASY / OPEN,SUCCESS,0.2415,True,0.3003,9.364,298,0.2722,0.2036,0.34,False,False,0,
EASY / OPEN_24,EASY / OPEN,COLLISION,0.7394,False,0.3,8.311,179,0.2261,0.2712,0.3463,False,False,0,EXCESSIVE_SPEED
EASY / OPEN_25,EASY / OPEN,SUCCESS,0.2444,True,0.5113,10.044,229,0.2621,0.2663,0.3405,False,False,0,
EASY / OPEN_26,EASY / OPEN,SUCCESS,0.2433,True,0.4263,10.588,266,0.2315,0.2438,0.3433,False,False,0,
EASY / OPEN_27,EASY / OPEN,SUCCESS,0.24,True,0.7839,4.419,125,0.2962,0.2474,0.3372,False,False,0,
EASY / OPEN_28,EASY / OPEN,SUCCESS,0.2357,True,0.5273,10.409,257,0.2789,0.1269,0.3407,False,False,0,
EASY / OPEN_29,EASY / OPEN,SUCCESS,0.2356,True,0.5772,11.163,156,0.2865,0.1985,0.3374,False,False,0,
EASY / OPEN_30,EASY / OPEN,SUCCESS,0.2287,True,0.4842,8.455,239,0.2541,0.3,0.3359,False,False,0,
WALL-BLOCKED_1,WALL-BLOCKED,SUCCESS,0.244,True,0.3469,16.65,385,0.2499,0.202,0.3379,False,False,0,
WALL-BLOCKED_2,WALL-BLOCKED,SUCCESS,0.241,True,0.4518,23.076,584,0.2538,0.4448,0.3397,False,False,0,
WALL-BLOCKED_3,WALL-BLOCKED,COLLISION,6.2366,False,0.3001,3.132,121,0.0944,0.2557,0.3149,False,False,0,EXCESSIVE_SPEED
WALL-BLOCKED_4,WALL-BLOCKED,SUCCESS,0.2406,True,0.3263,15.6,544,0.2691,0.2962,0.3397,False,False,0,
WALL-BLOCKED_5,WALL-BLOCKED,SUCCESS,0.2463,True,0.3599,14.328,333,0.241,0.2545,0.3362,False,False,0,
WALL-BLOCKED_6,WALL-BLOCKED,TIMEOUT,0.3664,False,0.3009,22.042,800,0.2437,0.5086,0.3381,False,False,0,TIMEOUT_LOW_PROGRESS
WALL-BLOCKED_7,WALL-BLOCKED,SUCCESS,0.2388,True,0.5135,10.816,363,0.2386,0.3494,0.3378,False,False,0,
WALL-BLOCKED_8,WALL-BLOCKED,COLLISION,6.2515,False,0.3003,7.601,92,0.1453,0.4287,0.3388,False,False,0,EXCESSIVE_SPEED
WALL-BLOCKED_9,WALL-BLOCKED,SUCCESS,0.2404,True,0.3657,9.12,300,0.2777,0.2386,0.3428,False,False,0,
WALL-BLOCKED_10,WALL-BLOCKED,SUCCESS,0.2445,True,0.359,10.971,292,0.2779,0.3266,0.3389,False,False,0,
WALL-BLOCKED_11,WALL-BLOCKED,SUCCESS,0.25,True,0.387,12.146,370,0.2358,0.2984,0.3414,False,False,0,
WALL-BLOCKED_12,WALL-BLOCKED,SUCCESS,0.2442,True,0.3897,15.783,282,0.257,0.2332,0.3408,False,False,0,
WALL-BLOCKED_13,WALL-BLOCKED,SUCCESS,0.2134,True,0.4684,22.153,529,0.2626,0.2572,0.3413,False,False,0,
WALL-BLOCKED_14,WALL-BLOCKED,COLLISION,0.3609,False,0.3005,16.465,320,0.2634,0.2534,0.4278,False,False,0,LATE_OBSTACLE_REACTION
WALL-BLOCKED_15,WALL-BLOCKED,SUCCESS,0.2474,True,0.4168,10.076,320,0.2702,0.2318,0.3362,False,False,0,
WALL-BLOCKED_16,WALL-BLOCKED,SUCCESS,0.2453,True,0.4409,12.068,253,0.2489,0.2659,0.3388,False,False,0,
WALL-BLOCKED_17,WALL-BLOCKED,SUCCESS,0.2486,True,0.3352,13.551,419,0.267,0.41,0.3398,False,False,0,
WALL-BLOCKED_18,WALL-BLOCKED,COLLISION,6.6443,False,0.3001,7.612,165,0.0842,0.2127,0.2498,False,False,0,WRONG_LOCAL_MANEUVER
WALL-BLOCKED_19,WALL-BLOCKED,SUCCESS,0.2362,True,0.6711,3.901,110,0.2586,0.1905,0.3363,False,False,0,
WALL-BLOCKED_20,WALL-BLOCKED,COLLISION,4.3543,False,0.3001,5.677,207,0.2268,0.1963,0.3358,False,False,0,EXCESSIVE_SPEED
WALL-BLOCKED_21,WALL-BLOCKED,SUCCESS,0.2487,True,0.4471,11.822,400,0.2598,0.2308,0.3405,False,False,0,
WALL-BLOCKED_22,WALL-BLOCKED,SUCCESS,0.2347,True,0.3001,17.11,445,0.2082,0.2558,0.339,False,False,0,
WALL-BLOCKED_23,WALL-BLOCKED,SUCCESS,0.23,True,0.3608,8.72,210,0.2308,0.2706,0.3402,False,False,0,
WALL-BLOCKED_24,WALL-BLOCKED,SUCCESS,0.2497,True,0.3362,8.725,269,0.279,0.2774,0.3425,False,False,0,
WALL-BLOCKED_25,WALL-BLOCKED,COLLISION,3.2633,False,0.3001,3.896,83,0.0965,0.2211,0.2924,False,False,0,WRONG_LOCAL_MANEUVER
WALL-BLOCKED_26,WALL-BLOCKED,SUCCESS,0.2443,True,0.3166,12.06,354,0.2601,0.3364,0.3377,False,False,0,
WALL-BLOCKED_27,WALL-BLOCKED,SUCCESS,0.2368,True,0.4151,13.778,309,0.2602,0.3048,0.3434,False,False,0,
WALL-BLOCKED_28,WALL-BLOCKED,COLLISION,1.8309,False,0.3001,12.941,228,0.2244,0.2532,0.3367,False,False,0,EXCESSIVE_SPEED
WALL-BLOCKED_29,WALL-BLOCKED,SUCCESS,0.2458,True,0.3215,11.423,339,0.2541,0.2397,0.3425,False,False,0,
WALL-BLOCKED_30,WALL-BLOCKED,SUCCESS,0.2458,True,0.5727,14.666,221,0.2595,0.2937,0.339,False,False,0,
