scenario_id,category,model,success,collision,timeout,initial_distance_to_goal,final_distance_to_goal,episode_steps,episode_time,path_length,minimum_clearance,mean_linear_velocity,mean_angular_velocity,mean_absolute_angular_velocity,forward_percentage,reverse_percentage,stationary_percentage,oscillation_events,oscillation_rate,no_turn_event,front_collision,successful_obstacle_avoidance,critical_recovery,angular_velocity_when_clearance_below_0.45m,direct_goal_path_blocked,first_obstacle_detected_step,first_turn_step,clearance_at_first_turn,did_robot_turn_away_from_blocking_wall,did_robot_get_around_wall,final_result
EASY / OPEN_1,EASY / OPEN,Champion,True,False,False,2.9928030322887293,1.1917516,172,17.2,2.6062126,0.657688319683075,0.14818081,-0.23734447,0.27300617,0.8953488372093024,0.01744186046511628,0.0872093023255814,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_2,EASY / OPEN,Champion,True,False,False,6.12398965920149,1.1737037,295,29.5,7.099315,0.3008577525615692,0.23942874,-0.06949957,0.2558483,0.9491525423728814,0.003389830508474576,0.04745762711864407,0,0.0,False,False,True,True,0.1411967,False,183,200,0.30713608860969543,True,True,Success
EASY / OPEN_3,EASY / OPEN,Champion,True,False,False,5.637265605123043,1.1861074,321,32.1,6.277982,0.3540072441101074,0.19431677,-0.16400045,0.2731181,0.9158878504672897,0.003115264797507788,0.08099688473520249,0,0.0,False,False,True,False,0.13315025,False,311,-1,-1.0,False,True,Success
EASY / OPEN_4,EASY / OPEN,Champion,True,False,False,6.3009520966860295,1.1576986,299,29.900000000000002,6.4188356,0.5547230243682861,0.18403564,-0.12484711,0.22089063,0.842809364548495,0.12374581939799331,0.033444816053511704,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_5,EASY / OPEN,Champion,True,False,False,5.53515620678069,1.1921815,427,42.7,8.1903105,0.6492096781730652,0.10949194,-0.07424261,0.14419086,0.6135831381733021,0.3770491803278688,0.00936768149882904,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_6,EASY / OPEN,Champion,True,False,False,6.477223075288859,1.1708283,250,25.0,6.2746153,0.8217549920082092,0.25098178,-0.003411109,0.16152531,0.996,0.0,0.004,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_7,EASY / OPEN,Champion,True,False,False,6.565524927980266,1.184276,288,28.8,5.674641,0.9030367136001587,0.1970362,-0.06541552,0.16906355,0.9756944444444444,0.0,0.024305555555555556,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_8,EASY / OPEN,Champion,True,False,False,4.364662785060325,1.1960158,281,28.1,5.858261,0.5346773862838745,0.20770925,-0.02565137,0.26231542,0.9181494661921709,0.0035587188612099642,0.07829181494661921,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_9,EASY / OPEN,Champion,True,False,False,4.217305433892203,1.1938825,231,23.1,4.3012652,0.90868079662323,0.18585725,-0.22233012,0.26600233,0.948051948051948,0.0,0.05194805194805195,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_10,EASY / OPEN,Champion,True,False,False,6.711510929014312,1.1628122,318,31.8,6.851632,0.5074657201766968,0.18480384,-0.10565034,0.20922577,0.8459119496855346,0.12264150943396226,0.031446540880503145,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
