Model,Category,Success,Collision,Timeout
Champion,BOTTOM_LEFT,0.4,0.5,0.1
Champion,BOTTOM_RIGHT,0.5,0.1,0.4
Champion,COMPLEX OBSTACLE,0.26666666666666666,0.5666666666666667,0.16666666666666666
Champion,EASY / OPEN,0.8666666666666667,0.13333333333333333,0.0
Champion,RANDOM,0.7,0.15,0.15
Champion,TOP_LEFT,0.4,0.3,0.3
Champion,TOP_RIGHT,0.4,0.2,0.4
Champion,WALL-BLOCKED,0.43333333333333335,0.4666666666666667,0.1
Stage-A,BOTTOM_LEFT,0.4,0.6,0.0
Stage-A,BOTTOM_RIGHT,0.6,0.4,0.0
Stage-A,COMPLEX OBSTACLE,0.3,0.5,0.2
Stage-A,EASY / OPEN,0.7666666666666667,0.23333333333333334,0.0
Stage-A,RANDOM,0.75,0.25,0.0
Stage-A,TOP_LEFT,0.4,0.6,0.0
Stage-A,TOP_RIGHT,0.6,0.4,0.0
Stage-A,WALL-BLOCKED,0.5,0.4,0.1
