scenario_id,category,outcome,failure_reason,final_dist_to_goal,min_clearance,path_length,total_steps,mean_linear_vel,mean_angular_vel,max_linear_vel,oscillation_detected,no_turn_detected,fallback_used_count,failure_evidence,last20_min_lidar,last20_mean_linear,last20_mean_angular
EASY / OPEN_20,EASY / OPEN,COLLISION,EXCESSIVE_SPEED,2.5436,0.3002,6.268,172,0.1112,0.3251,0.3307,False,False,0,Max linear vel=0.331 m/s during approach. min_clearance_last20=0.302m,0.3024,0.0027,0.0042
EASY / OPEN_21,EASY / OPEN,COLLISION,EXCESSIVE_SPEED,7.48,0.3,12.761,168,0.2099,0.2694,0.3353,False,False,0,Max linear vel=0.335 m/s during approach. min_clearance_last20=0.300m,0.3002,0.0016,0.0132
EASY / OPEN_24,EASY / OPEN,COLLISION,EXCESSIVE_SPEED,0.7394,0.3,8.311,179,0.2261,0.2712,0.3463,False,False,0,Max linear vel=0.346 m/s during approach. min_clearance_last20=0.303m,0.3026,0.0016,0.0109
WALL-BLOCKED_3,WALL-BLOCKED,COLLISION,EXCESSIVE_SPEED,6.2366,0.3001,3.132,121,0.0944,0.2557,0.3149,False,False,0,Max linear vel=0.315 m/s during approach. min_clearance_last20=0.300m,0.3001,0.0124,0.0204
WALL-BLOCKED_6,WALL-BLOCKED,TIMEOUT,TIMEOUT_LOW_PROGRESS,0.3664,0.3009,22.042,800,0.2437,0.5086,0.3381,False,False,0,Timeout with minimal progress. Δdist=0.11m | final_dist=0.37m,1.2258,0.2397,0.674
WALL-BLOCKED_8,WALL-BLOCKED,COLLISION,EXCESSIVE_SPEED,6.2515,0.3003,7.601,92,0.1453,0.4287,0.3388,False,False,0,Max linear vel=0.339 m/s during approach. min_clearance_last20=0.301m,0.3005,0.0023,0.0344
WALL-BLOCKED_14,WALL-BLOCKED,COLLISION,LATE_OBSTACLE_REACTION,0.3609,0.3005,16.465,320,0.2634,0.2534,0.4278,False,False,0,High forward velocity (0.260 m/s) with dropping clearance (0.304m) in final 20 steps.,0.3037,0.2602,0.122
WALL-BLOCKED_18,WALL-BLOCKED,COLLISION,WRONG_LOCAL_MANEUVER,6.6443,0.3001,7.612,165,0.0842,0.2127,0.2498,False,False,0,Low clearance (0.300m) with low angular response (0.028 rad/s) — failed to turn away from obstacle.,0.3001,0.0019,0.028
WALL-BLOCKED_20,WALL-BLOCKED,COLLISION,EXCESSIVE_SPEED,4.3543,0.3001,5.677,207,0.2268,0.1963,0.3358,False,False,0,Max linear vel=0.336 m/s during approach. min_clearance_last20=0.300m,0.3002,0.013,0.0529
WALL-BLOCKED_25,WALL-BLOCKED,COLLISION,WRONG_LOCAL_MANEUVER,3.2633,0.3001,3.896,83,0.0965,0.2211,0.2924,False,False,0,Low clearance (0.300m) with low angular response (0.026 rad/s) — failed to turn away from obstacle.,0.3001,0.0073,0.0262
WALL-BLOCKED_28,WALL-BLOCKED,COLLISION,EXCESSIVE_SPEED,1.8309,0.3001,12.941,228,0.2244,0.2532,0.3367,False,False,0,Max linear vel=0.337 m/s during approach. min_clearance_last20=0.302m,0.3017,0.0023,0.0115
COMPLEX OBSTACLE_2,COMPLEX OBSTACLE,COLLISION,LATE_OBSTACLE_REACTION,7.2765,0.3,17.951,181,0.1435,0.3813,0.3471,False,False,0,High forward velocity (0.174 m/s) with dropping clearance (0.304m) in final 20 steps.,0.3038,0.174,0.1654
COMPLEX OBSTACLE_8,COMPLEX OBSTACLE,COLLISION,EXCESSIVE_SPEED,1.2213,0.3001,6.981,251,0.1974,0.1987,0.3366,False,False,0,Max linear vel=0.337 m/s during approach. min_clearance_last20=0.300m,0.3001,0.0066,0.0325
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,COLLISION,LATE_OBSTACLE_REACTION,2.5486,0.3,11.112,210,0.2611,0.194,0.3373,False,False,0,High forward velocity (0.248 m/s) with dropping clearance (0.300m) in final 20 steps.,0.3,0.2484,0.2704
COMPLEX OBSTACLE_17,COMPLEX OBSTACLE,COLLISION,EXCESSIVE_SPEED,6.5004,0.3,6.359,266,0.0366,0.0941,0.3378,False,False,0,Max linear vel=0.338 m/s during approach. min_clearance_last20=0.301m,0.3013,0.003,0.0369
COMPLEX OBSTACLE_18,COMPLEX OBSTACLE,COLLISION,LATE_OBSTACLE_REACTION,3.7324,0.3001,12.251,281,0.2863,0.2704,0.3372,False,False,0,High forward velocity (0.245 m/s) with dropping clearance (0.300m) in final 20 steps.,0.3002,0.2446,0.3987
COMPLEX OBSTACLE_20,COMPLEX OBSTACLE,COLLISION,EXCESSIVE_SPEED,7.8662,0.3,9.909,121,0.1089,0.3418,0.3162,False,False,0,Max linear vel=0.316 m/s during approach. min_clearance_last20=0.300m,0.3002,-0.0027,0.0566
COMPLEX OBSTACLE_23,COMPLEX OBSTACLE,COLLISION,WRONG_LOCAL_MANEUVER,7.6463,0.3,11.59,312,0.0326,0.0575,0.2776,False,False,0,Low clearance (0.300m) with low angular response (0.005 rad/s) — failed to turn away from obstacle.,0.3,0.001,0.0054
COMPLEX OBSTACLE_26,COMPLEX OBSTACLE,COLLISION,EXCESSIVE_SPEED,3.2164,0.3,9.825,285,0.1735,0.1638,0.34,False,False,0,Max linear vel=0.340 m/s during approach. min_clearance_last20=0.300m,0.3002,0.0066,0.032
TOP_RIGHT_1,TOP_RIGHT,COLLISION,LATE_OBSTACLE_REACTION,1.7662,0.3005,8.772,226,0.2595,0.2859,0.3409,False,False,0,High forward velocity (0.285 m/s) with dropping clearance (0.300m) in final 20 steps.,0.3005,0.2852,0.289
TOP_RIGHT_2,TOP_RIGHT,COLLISION,LATE_OBSTACLE_REACTION,1.3178,0.3001,7.062,183,0.2868,0.1926,0.3358,False,False,0,High forward velocity (0.293 m/s) with dropping clearance (0.300m) in final 20 steps.,0.3001,0.2933,0.2453
TOP_RIGHT_5,TOP_RIGHT,TIMEOUT,TIMEOUT_LOW_PROGRESS,7.1949,0.3,37.534,800,0.0624,0.2038,0.3485,False,False,0,Timeout with minimal progress. Δdist=0.27m | final_dist=7.19m,0.3001,0.2343,0.8732
BOTTOM_LEFT_8,BOTTOM_LEFT,COLLISION,EXCESSIVE_SPEED,0.3391,0.3001,14.011,369,0.2436,0.2287,0.3361,False,False,0,Max linear vel=0.336 m/s during approach. min_clearance_last20=0.301m,0.3006,0.0005,0.0041
BOTTOM_RIGHT_9,BOTTOM_RIGHT,COLLISION,EXCESSIVE_SPEED,5.3232,0.3005,26.843,152,0.1012,0.3479,0.3338,False,False,0,Max linear vel=0.334 m/s during approach. min_clearance_last20=0.301m,0.3009,-0.0038,0.0221
RANDOM_4,RANDOM,COLLISION,EXCESSIVE_SPEED,6.8395,0.3001,10.893,217,0.1437,0.3009,0.3362,False,False,0,Max linear vel=0.336 m/s during approach. min_clearance_last20=0.302m,0.3016,0.0,0.0118
RANDOM_18,RANDOM,COLLISION,LATE_OBSTACLE_REACTION,4.6582,0.3004,5.467,184,0.2813,0.2018,0.339,False,False,0,High forward velocity (0.285 m/s) with dropping clearance (0.300m) in final 20 steps.,0.3004,0.2848,0.2639
